step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
31,abundant,110.83075601736161,71.63709218965948,18.3100441042835,0.12856067438716662,4.008369141180085,1925.8807173724745,0.8647998956158788,3,14,26,0,0,0,0.2622640788342604,0.8384670794194081,0.0049,0.3006538217912265,99.987014906771,81.43984125900053,0.0003740506639169094,0.0,32.101638189242415,189.64523986376722
32,abundant,110.82358126682429,71.65940867318005,18.525723626542412,0.09639134512030974,4.03890420632954,1941.3581657386312,0.8639388261976964,3,13,27,0,0,0,0.26440166539706356,0.8379736375874713,0.00455,0.3006172559963848,99.986771112105,81.4299364704644,0.0003806851727249867,0.0,32.101638189242415,180.88330795747873
33,abundant,110.81349579584813,71.68804225750314,18.735010934825247,0.12510532148066472,4.053800741346422,1952.137185787782,0.8622414144430951,3,13,27,0,0,0,0.26511867053384336,0.837479407049884,0.00455,0.30058069039529367,99.986501445659,81.42003173441064,0.0003873194511721741,0.0,32.101638189242415,174.14788374999375
34,abundant,110.80686107269875,71.71067646943182,18.94038021613436,0.11470261799261178,4.093279653244508,1967.801085349205,0.8622189864492426,3,14,26,0,0,0,0.26151257541535267,0.8369989432169274,0.0049,0.3005412840901946,99.98619262399667,81.40935752041678,0.0003944648451474604,0.0,32.101638189242415,175.73102907841843
35,abundant,110.80554548483363,71.73627261243696,19.145822298321896,0.1372880533051063,4.147287473996778,1982.9551653624112,0.8622320546956742,3,14,26,0,0,0,0.2620146695057062,0.836517927080471,0.0049,0.3005018779874186,99.98586957626488,81.39868336122734,0.00040160999102309647,0.0,32.101638189242415,193.042383623053
36,abundant,110.81147852175994,71.76824096627878,19.35371655209452,0.16153181589324428,4.195382131617066,1996.3756787730126,0.8620049043091063,3,13,27,0,0,0,0.26428639647426344,0.8360246120443492,0.00455,0.30046531298566703,99.98555326070152,81.38877878752014,0.0004082435429267067,0.0,32.101638189242415,175.47390827560343
37,abundant,110.81751004726041,71.79814154111298,19.559513325546142,0.14603778110723323,4.244976922011557,2011.3193174323897,0.8621546421642002,3,13,27,0,0,0,0.26541754953601054,0.8355300527398597,0.00455,0.3004287481765,99.98531570534577,81.37887426597942,0.00041487686450265236,0.0,32.101638189242415,177.65676412901948
38,abundant,110.83085303812788,71.83297154891027,19.75764771918326,0.17318272972091397,4.2642095735378875,2024.0075312966073,0.8619261252571516,3,15,25,0,0,0,0.25962816141684625,0.8350614617623009,0.00525,0.30038650177467957,99.98508367914796,81.3674307385447,0.000422532647520911,0.0,32.101638189242415,174.76160881392488
39,abundant,110.85367749216232,71.87085860733092,19.95279333617907,0.19264134787672818,4.283594476536541,2034.0622743031927,0.8612395472267674,3,16,24,0,0,0,0.25697541471706054,0.8346055888061124,0.0056,0.30034141469888787,99.98485193468139,81.3552177413061,0.00043069951059897547,0.0,32.101638189242415,167.50856250450096
40,abundant,110.88068710494694,71.91256810212299,20.148590676712107,0.2146850556509657,4.296844001967449,2047.4959120282074,0.8600546061371144,3,16,24,0,0,0,0.256436049860323,0.834150309151266,0.005600000000000001,0.3002963278635876,99.98469492978764,81.34300480921083,0.0004388660901103284,0.0,32.101638189242415,175.01578697241956
