step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
51,scarce,101.81905707414818,61.52037563477826,25.40354824573938,0.1805274585276558,4.211416719885362,2741.1740559661266,1.0003462034947885,10,0,0,27,13,0,0.6159663710819793,0.7959816672992941,0.0,0.05112323927280525,100.0,46.00406662257806,0.0,0.0,24.325666783590812,197.4040581062795
52,scarce,101.88821320084998,61.63405100771918,25.4615003960129,0.19919183721643569,3.973199349733831,2727.022467442752,1.0051540234085805,10,0,0,27,13,0,0.6266776358769313,0.7949623218998294,0.0,0.05112332617547081,100.0,46.00414482333515,0.0,0.0,24.325666783590812,196.63112056314213
53,scarce,101.96659906615804,61.75372017359507,25.515803407703313,0.2131611285724454,4.026570183144029,2724.610755510883,1.0047032468493355,9,0,0,28,12,0,0.6367758008373293,0.7939318685189084,0.0,0.051123413077988615,100.0,46.004223023959284,0.0,0.0,24.325666783590812,178.21539341224099
54,scarce,102.04588083638218,61.86405204098344,25.551889616555357,0.22582529720736927,4.223011640253319,2725.1260880484188,0.9893676113264309,9,0,0,26,14,0,0.6278850879880831,0.7929111949221215,0.0,0.05112349998035868,100.0,46.004301224450465,0.0,0.0,24.325666783590812,169.08778858232688
55,scarce,102.1322951509916,61.97337501226484,25.575414151628244,0.22669458898707717,4.459384690026107,2735.6538074755663,0.9613259310886231,8,0,0,28,12,0,0.6327171955597711,0.7918852060070057,0.0,0.05112358688258101,100.0,46.00437942480871,0.0,0.0,24.325666783590812,160.43021021964094
56,scarce,102.23061325677034,62.08641963863587,25.591887284113046,0.23259323460058173,4.533087762626804,2753.4943181160925,0.9341884895295194,8,0,0,30,10,0,0.6446943479236878,0.7908460422242897,0.0,0.05112367378465559,100.0,46.00445762503401,0.0,0.0,24.325666783590812,160.7607224061783
57,scarce,102.32311452834759,62.18320965591498,25.576470135653288,0.22934771144779165,4.556140598975997,2763.276778496711,0.9125508955785339,7,0,0,28,12,0,0.6275853828446829,0.7898256983031604,0.0,0.05112376068658243,100.0,46.00453582512634,0.0,0.0,24.325666783590812,179.56039650623347
58,scarce,102.41731829922136,62.27333898140937,25.543887868588136,0.19511143002247372,4.658330740866643,2774.8558152872138,0.8933354142336647,6,0,0,28,12,0,0.629744711497308,0.7888029791205134,0.0,0.051123847588361526,100.0,46.004614025085736,0.0,0.0,24.325666783590812,181.9769064120428
59,scarce,102.52186438871354,62.35200316536448,25.49320346375203,0.20505524045423726,4.761898203769592,2774.088308802544,0.8757263912504557,6,0,0,28,12,0,0.6325450476455118,0.7877771795681033,0.0,0.05112393448999289,100.0,46.00469222491219,0.0,0.0,24.325666783590812,182.83296874172342
60,scarce,102.63355434231116,62.427404018750835,25.407901006391945,0.22263762826275688,4.689432713497396,2755.676237851876,0.8661134564120759,7,0,0,26,14,0,0.6120565901308523,0.7867739173189595,0.0,0.05112402139147651,100.0,46.004770424605695,0.0,0.0,24.325666783590812,182.59596607772556
