step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
37,abundant,111.44313478349497,73.37144015472816,22.82972758136032,0.33092118514039,5.288664124915064,3147.62193323216,1.093025647881021,9,2,22,16,0,0.42500004912550854,0.8281784339648557,0.0073500319589095055,0.3007988584098883,99.9825991325934,81.479128167546,0.00034834824924210146,0.0,32.101638189242415,142.65511995258512
38,abundant,111.4999867274394,73.43733034548974,23.15239443764437,0.34074261872810513,5.3879619157725935,3232.696595452522,1.0988183220003178,9,2,23,15,0,0.4095119225082147,0.827613571740941,0.0077000318158710985,0.30073672461544243,99.98206540080308,81.46229762693838,0.00035958580989116297,0.0,32.101638189242415,131.50225260029407
39,abundant,111.572229853106,73.49910546866373,23.460012194249863,0.3143594713154906,5.4906403953826715,3306.1140147704245,1.1040810770045384,8,2,24,14,0,0.39688982360261843,0.8270821929349779,0.008400000000000001,0.30066890965762955,99.9816089274182,81.44392819672007,0.0003718456256332874,0.0,32.101638189242415,150.55090126497055
40,abundant,111.65079683209774,73.55839613226496,23.766962678733837,0.3035754663535765,5.584935449668227,3376.9120309200116,1.1097047871421872,8,2,24,14,0,0.39647306611753097,0.8265512725622486,0.008400000000000001,0.30060109509485433,99.98111086246145,81.42555887350788,0.00038410501569475564,0.0,32.101638189242415,133.69520848691167
41,abundant,111.7216575336893,73.61542367410155,24.07111715068448,0.32312388169582257,5.580973575795161,3438.0209767392407,1.1155944643584836,9,2,24,14,0,0.38677639891746646,0.8260275498794976,0.008276119859210809,0.3005342864497395,99.98066513532454,81.40746202903584,0.00039618299266255065,0.0,32.101638189242415,123.71868740276349
42,abundant,111.7931467747851,73.66951812011273,24.37361194401964,0.3150071421260994,5.58625270090634,3496.2510730288996,1.1214124027542194,9,2,24,14,0,0.38747404103872524,0.8254967297960498,0.008050048631963342,0.30046931318134557,99.98020646426066,81.38986234368157,0.0004079302628609594,0.0,32.101638189242415,140.74590476318517
43,abundant,111.86329049121404,73.72241339854844,24.68118415596853,0.3006158355632384,5.596246967191119,3554.001962683935,1.126934668995741,10,2,24,14,0,0.39010055558100243,0.8249630205405782,0.008050048416702985,0.3004043402958521,99.97973113196726,81.37226276204579,0.0004196771248606302,0.0,32.101638189242415,149.95474431317967
44,abundant,111.94693980352308,73.77382386590043,24.979364816473645,0.29806376073520435,5.596340967858881,3614.687534105011,1.1328231619215556,10,2,25,13,0,0.3791004068607914,0.8244512114426717,0.008400048201442157,0.3003365268950874,99.97913328681601,81.35389375359411,0.00043193492455672597,0.0,32.101638189242415,149.83300747968028
45,abundant,112.03762173427371,73.83077298742757,25.273430157020805,0.3439515688538858,5.574580995477253,3682.550930169913,1.137920048565521,9,2,25,13,0,0.37900986093327854,0.8239395019392581,0.008400047986180856,0.30026871388671,99.97855504147701,81.33552485143066,0.00044419229832767164,0.0,32.101638189242415,130.86844757865114
46,abundant,112.13065029862248,73.88292174164538,25.5731536952673,0.3172628947937708,5.57649128710066,3752.374285308557,1.1433519317727352,9,2,25,13,0,0.3818464599368362,0.8234246721709134,0.008400047770919081,0.30020090126762106,99.97796919665758,81.31715605471604,0.0004564492461882553,0.0,32.101638189242415,148.24969468618602
47,abundant,112.22446262387435,73.92240301698183,25.868170352574246,0.3031006876395436,5.560390216287613,3809.758717837336,1.139805240381263,9,3,25,12,0,0.3739037039108527,0.8229185794281697,0.00840004755565683,0.3001330890352657,99.97739415156387,81.29878736275816,0.00046870576815326466,0.0,32.101638189242415,147.49921659758382
48,abundant,112.32165411725789,73.96051046457465,26.159152132711416,0.31665807921053785,5.572571084266551,3870.620059465611,1.1378551874120388,12,3,25,12,0,0.3733438413226935,0.8224131025282457,0.008400047340394106,0.30006527719686205,99.9767796555578,81.28041877751228,0.00048096186423748666,0.0,32.101638189242415,147.01282105790983
49,abundant,112.42240451332955,73.99234519633534,26.451458162015847,0.2970201556708572,5.616209047321062,3927.4280184255185,1.138643981375976,12,3,25,12,0,0.3746018068550554,0.8219062418602089,0.008400047125130906,0.29999746574777153,99.97614142221346,81.26205029772188,0.0004932175344557078,0.0,32.101638189242415,130.63832930414983
50,abundant,112.52454294910265,74.02232309754243,26.742598661109998,0.2899861629613148,5.687077285592781,3979.7697999449883,1.1404648080214859,12,3,25,12,0,0.37699017448737393,0.821396753981749,0.00840004690986723,0.2999296546860014,99.97549184423231,81.24368192284722,0.0005054727788227144,0.0,32.101638189242415,131.87927022505582
51,abundant,112.62793100636463,74.04727949784746,27.038797914957797,0.2693180005268772,5.81483515814803,4032.6353331402206,1.1435179931803139,12,3,25,12,0,0.3785256081656879,0.8208855771202156,0.008400046694603076,0.29986184401398486,99.9748264547091,81.22531365354736,0.000517727597353292,0.0,32.101638189242415,133.04463319419963
52,abundant,112.73249239305873,74.07161251492616,27.33850452251135,0.26586294425610757,5.9391134159777135,4095.7853137119964,1.1467170577296368,12,3,25,12,0,0.38101293043307016,0.8203814628967393,0.008749999999999999,0.2997911932097185,99.97408464402109,81.20617606118284,0.0005304932680374488,0.0,32.101638189242415,158.63992344937319
53,abundant,112.83376703275762,74.09873747375019,27.64167932167277,0.2648943325814914,6.013026718951167,4163.284031244722,1.150182885286468,13,3,25,12,0,0.3831757235513196,0.8198749696008327,0.008749999999999999,0.2997205428130546,99.97336603876506,81.18703857922797,0.0005432584954768469,0.0,32.101638189242415,125.02322884264053
54,abundant,112.93852988266963,74.12830019067154,27.945633810762537,0.28121311987302516,6.137590024806453,4231.109146834482,1.1540363683515569,13,3,25,12,0,0.3849043958253843,0.8193665747654247,0.008749999999999999,0.29964989282775645,99.9726337744769,81.16790120870212,0.000556023279686876,0.0,32.101638189242415,126.33074106099407
